Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,40319,03/30/2024 08:39:00 AM,Queens,47,14,100,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking
2024,10157,03/30/2024 09:56:00 AM,Manhattan,13,12,34,MD Residential Structure,Electrical Wiring,Electrical
2024,10158,03/30/2024 01:00:00 PM,Manhattan,2,2,6,Outside Rubbish,Incendiary,Incendiary
2024,10159,03/30/2024 02:14:00 PM,Manhattan,9,4,18,Outside Rubbish,Incendiary,Incendiary
2024,10160,03/30/2024 04:17:00 PM,Manhattan,6,2,9,Commercial Structure,Torch - Legal Use of,Open Flame
2024,40320,03/30/2024 05:48:00 PM,Queens,50,12,103,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,50051,03/30/2024 06:09:00 PM,Staten Island,21,1,120,Vehicle,Preliminary Investigation Only,Other
2024,30329,03/30/2024 07:30:00 PM,Brooklyn,43,13,60,MD Residential Structure,Food on the Stove,Cooking
2024,50052,03/30/2024 08:53:00 PM,Staten Island,22,1,120,PD Residential Structure,Food on the Stove,Cooking
2024,10161,03/30/2024 11:59:00 PM,Manhattan,13,12,34,Vehicle,Preliminary Investigation Only,Other
2024,30330,03/31/2024 12:27:00 AM,Brooklyn,37,4,81,Vehicle,Preliminary Investigation Only,Other
2024,40321,03/31/2024 12:34:00 AM,Queens,51,10,106,Vehicle,Preliminary Investigation Only,Other
2024,30331,03/31/2024 12:37:00 AM,Brooklyn,41,14,67,Vehicle,Preliminary Investigation Only,Other
2024,30332,03/31/2024 09:28:00 AM,Brooklyn,37,3,81,MD Residential Structure,Other - Hot Objects,Hot Objects
2024,30333,03/31/2024 11:27:00 AM,Brooklyn,41,17,67,MD Residential Structure,Incendiary,Incendiary
2024,20269,03/31/2024 12:22:00 PM,Bronx,18,6,46,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2024,70026,03/31/2024 02:00:00 PM,Bronx,,5,46,Other,SIU Investigation,Other
2024,20270,03/31/2024 03:22:00 PM,Bronx,3,9,43,Other,Smoking (Cigarette/Cigar),Smoking
2024,40323,03/31/2024 06:03:00 PM,Queens,49,3,115,PD Residential Structure,Portable Heater - Electric,Heaters
2024,20272,04/01/2024 12:01:00 AM,Bronx,19,5,46,Vehicle,Incendiary,Incendiary
2024,20273,04/01/2024 01:32:00 AM,Bronx,15,10,47,Vehicle,Preliminary Investigation Only,Other
2024,10163,04/01/2024 01:42:00 AM,Manhattan,12,11,25,Vehicle,Preliminary Investigation Only,Other
2024,20274,04/01/2024 04:35:00 AM,Bronx,15,10,47,Vehicle,Preliminary Investigation Only,Other
2024,30336,04/01/2024 06:27:00 AM,Brooklyn,48,3,66,Vehicle,Incendiary,Incendiary
2024,10165,04/01/2024 12:48:00 PM,Manhattan,9,4,10,Hotel,Incense,Hot Objects
2024,40326,04/01/2024 02:17:00 PM,Queens,50,6,112,MD Residential Structure,Other - Electrical,Electrical
2024,30337,04/01/2024 03:35:00 PM,Brooklyn,57,3,79,MD Residential Structure,Preliminary Investigation Only,Other
2024,10166,04/01/2024 08:44:00 PM,Manhattan,13,12,34,MD Residential Structure,Electrical Wiring,Electrical
2024,30338,04/02/2024 01:05:00 AM,Brooklyn,31,1,90,Vehicle,Preliminary Investigation Only,Other
2024,20275,04/02/2024 01:18:00 AM,Bronx,15,12,47,Vehicle,Preliminary Investigation Only,Other
